Image,Matched Record,Match Confidence,Match Status,Overall Status,Primary Issue,All Issues,Processing Time
old_tom_complete_sample_label.png,OLD TOM DISTILLERY,100%,Auto Match,Pass,No issues detected,No issues detected,0.74s
robinHoodBrewing_clean_label.png,Robin Hood Brewing Co.,98%,Auto Match,Needs Review,Government Warning: Missing,Government Warning: Missing - Government warning was not found in the OCR text.,4.69s
tequila_cleanValid_label.png,OLD TOM DISTILLERY,0%,No Match,Needs Review,No confident record match,Brand Name: Missing - Brand Name was not confidently found in the OCR text. | Class / Type: Missing - Class / Type was not confidently found in the OCR text. | Alcohol Content: Missing - Alcohol Content was not found in the OCR text. | Net Contents: Missing - Net Contents was not found in the OCR text. | Government Warning: Missing - Government warning was not found in the OCR text.,5.54s
trailBrazerbeer_clean_label.png,Trail Blazer,65%,No Match,Needs Review,No confident record match,Brand Name: Missing - Brand Name was not confidently found in the OCR text. | Class / Type: Missing - Class / Type was not confidently found in the OCR text. | Government Warning: Missing - Government warning was not found in the OCR text.,4.86s
12345imports_clean_label.png,OLD TOM DISTILLERY,0%,No Match,Needs Review,No confident record match,Brand Name: Missing - Brand Name was not confidently found in the OCR text. | Class / Type: Missing - Class / Type was not confidently found in the OCR text. | Alcohol Content: Missing - Alcohol Content was not found in the OCR text. | Net Contents: Missing - Net Contents was not found in the OCR text. | Government Warning: Missing - Government warning was not found in the OCR text.,4.81s
abc_clean_test_label.png,ABC DISTILLERY ,92%,Needs Review,Needs Review,Net Contents: Missing,Net Contents: Missing - Net Contents was not found in the OCR text.,4.89s
